Idade;Genero;Cor/raca/etnia;PCD;UF onde mora;Tempo médio;Qual sua situação atual de trabalho?;Cargo Atual;Nivel;Faixa salarial;Atualmente qual a sua forma de trabalho?;Você acha que trabalhar em casa aumenta sua produtividade no trabalho?;Você acha que trabalhar em casa impede você de sair?;Você acha que trabalhar em casa lhe dá mais flexibilidade?;Você acha que trabalhar em casa economiza mais tempo?;Que tipo de trabalho tem o potencial de causar problemas físicos, como dores no pescoço, nas costas e nas pernas?;Que tipo de trabalho tem potencial para causar transtornos mentais, como estresse, ansiedade e depressão?;Você acha que trabalhar em casa impede você de entrar em contato com as pessoas?;Que tipo de trabalho mantém você focado enquanto trabalha?;Qual a forma de trabalho ideal para você?
31;Masculino;Branca;Não;MG;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo 100% remoto
30;Masculino;Branca;Não;ES;;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
37;Feminino;Amarela;Não;SP;;Empregado (CLT);Analista de Dados/Data Analyst;Júnior;de R$ 6.001/mês a R$ 8.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo 100% remoto
22;Masculino;Preta;Não;SP;;Desempregado, buscando recolocação;;;;;;;;;;;;;
34;Masculino;Branca;Não;MG;;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
30;Masculino;Branca;Não;RJ;;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
24;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de Negócios/Business Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35;Masculino;Branca;Não;SP;;Empregado (CLT);;;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
27;Masculino;Parda;Não;RJ;;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;;;;;
28;Masculino;Parda;Não;SP;;Desempregado, buscando recolocação;;;;;;;;;;;;;
25;Masculino;Preta;Sim;SE;;Empregado (CLT);Analista de BI/BI Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
46;Feminino;Parda;Não;PE;;Desempregado, buscando recolocação;;;;;;;;;;;;;
32;Feminino;Preta;Não;RS;;Empregado (CLT);Outra Opção;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
39;Masculino;Branca;Não;SP;;Empregado (CLT);;;de R$ 16.001/mês a R$ 20.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
36;Masculino;Branca;Não;DF;;Servidor Público;;;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
35;Feminino;Branca;Não;MG;;Empregado (CLT);;;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
29;Feminino;Branca;Não;RJ;;Servidor Público;Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
