"('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')",Média de horas com trabalho doméstico e cuidado de pessoas,"('P1_d ', 'PCD')","('P1_i ', 'Estado onde mora')","('P1_i_2 ', 'Regiao onde mora')",Roubos de veículo,Roubos de carro,Roubos de moto,Roubos de bicicleta,Roubos fora do domicílio por região,"('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_f ', 'Cargo Atual')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_r ', 'Atualmente qual a sua forma de trabalho?')","('P2_s ', 'Qual a forma de trabalho ideal para você?')"
31,Masculino,Branca,16.5,Não,Minas Gerais (MG),Sudeste,92,67,25,23,565,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto
30,Masculino,Branca,16.5,Não,Espírito Santo (ES),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo 100% remoto
37,Feminino,Amarela,17,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto
22,Masculino,Preta,17.100000000000001,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,
34,Masculino,Branca,16.5,Não,Minas Gerais (MG),Sudeste,92,67,25,23,565,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto
30,Masculino,Branca,16.5,Não,Rio de Janeiro (RJ),Sudeste,92,67,25,23,565,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
24,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
27,Masculino,Parda,17.399999999999999,Não,Rio de Janeiro (RJ),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Trabalho na área Acadêmica/Pesquisador,,,,,,
28,Masculino,Parda,17.399999999999999,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,,,
25,Masculino,Preta,17.100000000000001,Sim,Sergipe (SE),Nordeste,81,23,57,17,487,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
46,Feminino,Parda,17.399999999999999,Não,Pernambuco (PE),Nordeste,81,23,57,17,487,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,
32,Feminino,Preta,17.100000000000001,Não,Rio Grande do Sul (RS),Sul,12,8,4,2,74,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
39,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
36,Masculino,Branca,16.5,Não,Distrito Federal (DF),Centro-oeste,12,10,3,3,82,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,,,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial
35,Feminino,Branca,16.5,Não,Minas Gerais (MG),Sudeste,92,67,25,23,565,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Modelo 100% remoto,Modelo 100% remoto
29,Feminino,Branca,16.5,Não,Rio de Janeiro (RJ),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Servidor Público,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29,Feminino,Prefiro não informar,17,Não,Minas Gerais (MG),Sudeste,92,67,25,23,565,Mestrado,Outra opção,Empregado (CLT),Analista de Negócios/Business Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial
27,Masculino,Parda,17.399999999999999,Não,Paraná (PR),Sul,12,8,4,2,74,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo 100% remoto
31,Masculino,Branca,16.5,Não,Rio de Janeiro (RJ),Sudeste,92,67,25,23,565,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),,,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35,Masculino,Parda,17.399999999999999,Não,Paraíba (PB),Nordeste,81,23,57,17,487,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
29,Masculino,Branca,16.5,Não,Paraná (PR),Sul,12,8,4,2,74,Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Cientista de Dados/Data Scientist,Sênior,Acima de R$ 40.001/mês,de 5 a 6 anos,Modelo 100% remoto,Modelo 100% remoto
44,Feminino,Branca,16.5,Não,Minas Gerais (MG),Sudeste,92,67,25,23,565,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),,,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
25,Feminino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
36,Masculino,Branca,16.5,Não,Acre (AC),,,,,,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
36,Feminino,Parda,17.399999999999999,Não,Minas Gerais (MG),Sudeste,92,67,25,23,565,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
46,Masculino,Branca,16.5,Não,Santa Catarina (SC),Sul,12,8,4,2,74,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Professor/Pesquisador,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
33,Feminino,Parda,17.399999999999999,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial
30,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Economista,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
32,Masculino,Parda,17.399999999999999,Não,São Paulo (SP),Sudeste,92,67,25,23,565,Não tenho graduação formal,,Empregado (CLT),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
